,confidence,orig,name,school
711,high,Toulouse school of Economics(M2),Toulouse school of Economics,
712,high,Georgia Institute Of Technology,Georgia Institute of Technology,
713,high,University Of Missouri--Kansas City,University of Missouri - Kansas City,
714,google-match,Universidad Colegio Mayor de Nuestra Senora del Ro,Universidad del Rosario,
715,google-match,"Korea Development Institute, School of Pub. Policy & Management",KDI School of Public Policy and Management,
716,high,Toulouse School of Economics,Toulouse school of Economics,
717,high,Oklahoma State University--Main Campus,Oklahoma State University,
718,high,University Of Leicester,University of Leicester,
719,not changed,Groupe HEC,Groupe HEC,
720,high,University Of Memphis,University of Memphis,
721,high,University Of Wisconsin--Milwaukee,University of Wisconsin - Milwaukee,
722,high,University Of Cambridge-Pembroke College,University of Cambridge,pembroke college
723,high,Kent State University,Kent State University,
724,high,Bilkent University,Bilkent University,
725,same-name,Universita Commerciale 'Luigi Bocconi',University of Commerce Luigi Bocconi,
726,google-match,Tulane University,The Tulane University of New Orleans,
727,exactmatch,Instituto De Matematica Pura E Aplicada,Instituto Nacional de Matemática Pura e Aplicada - IMPA,
728,high,Pontificia Universidad Catolica Del Peru,Pontificia Universidad Católica del Perú,
729,high,Azusa Pacific University,Azusa Pacific University,
730,exactmatch,Instituto TecnÃ³logico de MÃ©xico (ITAM),Instituto Tecnológico Autonómo de México,
731,high,University Of Texas At Dallas,University of Texas at Dallas,
732,high,Institute Of Social Studies,Institute of Social Studies,
733,high,University Of North Carolina At Charlotte,University of North Carolina at Charlotte,
734,high,University Of Kent At Canterbury,University of Kent,
735,high,San Francisco State University,San Francisco State University,
736,high,University of Oulu,University of Oulu,
737,high,New York University School of Law,New York University,school of law
738,high,University Of Wisconsin- Madison,University of Wisconsin - Madison,
739,high,Universidad Alberto Hurtado,Universidad Alberto Hurtado,
740,high,University of York,University of York,
741,high,UFSCAR,Universidade Federal de São Carlos,
742,high,University Of Helsinki,University of Helsinki,
743,high,Xi`an Jiaotong University,Xi'an Jiaotong University,
744,high,Florida Atlantic University,Florida Atlantic University,
745,high,"California State University, Long Beach","California State University, Long Beach",
746,same-name,Centre for Development Studies,University for Development Studies,
747,high,Osaka University,Osaka University,
748,high,Washington State University,Washington State University,
