,newid,Institution of highest degree obtained,name
540,745596,-,
541,429137,-,
542,723381,The George Washington University,George Washington University
543,1235,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
544,133435,Boston University,Boston University
545,212945,The University of Texas at Austin,University of Texas
546,934895,Cornell University,Cornell University
547,147169,Columbia University,Columbia University
548,752724,-,
549,621768,Boston University,Boston University
550,291560,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
551,32840,Brown University,Brown University
552,919414,-,
553,7075,The Ohio State University,Ohio State University
554,750705,Toulouse School of Economics,Toulouse School of Economics
555,378067,Brown University,Brown University
556,843106,UC Berkeley,"University of California, Berkeley"
557,459774,University of St.Gallen,University of St. Gallen
558,369268,-,
559,540917,University of North Carolina at Chapel Hill - Kenan-Flagler Business School,University of North Carolina - Kenanflagler Business School
560,154067,Duke University,Duke University
561,170315,Princeton University,Princeton University
562,323233,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
563,412929,University of Minnesota,University of Minnesota
564,976049,-,
565,578530,-,
566,403034,"University of California, Berkeley","University of California, Berkeley"
567,346407,-,
568,609508,-,
569,328104,New York University,New York University
570,203844,-,
571,347366,University of Cambridge,University of Cambridge
572,108993,-,
573,393606,Harvard University,Harvard University
574,331644,University of Cambridge,University of Cambridge
575,427924,University of Georgia,University of Georgia
576,716405,Southern Methodist University,Southern Methodist University
577,833554,Simon Fraser University,Simon Fraser University
578,200505,-,
579,886102,Princeton University,Princeton University
580,502273,Massachusetts Institute of Technology,Massachusetts Institute of Technology
581,552120,University of Calgary,University of Calgary
582,712791,-,
583,496910,-,
584,165725,The Australian National University,Australian National University
585,920283,The University of Chicago,University of Chicago
586,282627,-,
587,562442,Columbia University in the City of New,Columbia University
588,467757,"University of California, Los Angeles","University of California, Los Angeles"
589,523063,-,
590,709585,-,
591,42655,Princeton University,Princeton University
592,745172,-,
593,543929,Boston College,Boston College
594,175835,-,
595,811077,-,
596,874912,University of Texas at Austin,University of Texas
597,446429,UC Berkeley School of Information,"University of California, Berkeley - School Of Information"
598,400744,"University of California, Berkeley","University of California, Berkeley"
599,123440,George Mason University,George Mason University
600,933069,Western University,Western University
601,717748,-,
602,533796,Northwestern University,Northwestern University
603,326159,-,
604,651445,-,
605,867927,University of Virginia,University of Virginia
606,914310,Virginia Tech,Virginia Polytechnic Institute and State University (Virginia Tech)
607,634187,Northwestern University,Northwestern University
608,390026,-,
609,566526,"University of California, San Diego - The Rady School of Management","University of California, San Diego - The Rady School Of Management"
610,743941,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
611,261436,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
612,692198,New York University,New York University
613,776219,Brown University,Brown University
614,419322,-,
615,232728,-,
616,892626,University of Oxford,University of Oxford
617,661740,-,
618,238567,-,
619,256396,-,
620,748884,University of Rochester,University of Rochester
621,992068,University of Michigan,University of Michigan
622,547485,University of Virginia,University of Virginia
623,893649,"University of California, Berkeley","University of California, Berkeley"
624,185169,"University of California, San Diego","University of California, San Diego"
625,225455,Purdue University,Purdue University
626,824441,"University of California, Berkeley","University of California, Berkeley"
627,590454,Duke University,Duke University
628,98485,"University of California, Berkeley","University of California, Berkeley"
629,299041,"University of California, Berkeley","University of California, Berkeley"
630,722119,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
631,5898,Duke University - The Fuqua School of Business,Duke University - The Fuqua School Of Business
632,187773,University of Michigan - Stephen M. Ross School of Business,University of Michigan - Stephen M Ross School Of Business
633,149656,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology
634,291430,University of California,"University of California, Berkeley"
635,449652,University of Copenhagen,Copenhagen University
636,967274,-,
637,168930,Princeton University,Princeton University
638,883441,-,
639,919378,Yale Law School,Yale University - Law School
640,653037,Columbia University,Columbia University
641,681098,-,
642,73899,Northwestern University,Northwestern University
643,372957,Princeton University,Princeton University
644,69664,University of California San Diego,"University of California, San Diego"
645,656351,-,
646,288607,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
647,462835,-,
648,665748,The University of British Columbia,University of British Columbia
649,399929,-,
650,66878,Columbia Engineering,Columbia University - Engineering School
651,596109,University of Michigan,University of Michigan
652,392273,University of Virginia,University of Virginia
653,972894,University of California-Berkeley,"University of California, Berkeley"
654,768252,Washington University in St. Louis,Washington University in St. Louis
655,74066,-,
656,614422,-,
657,298980,Yale School of Management,Yale University - School Of Management
658,739118,"University of California, Los Angeles","University of California, Los Angeles"
659,314155,The Wharton School,University of Pennsylvania - The Wharton School
660,954566,-,
661,566887,The Ohio State University,Ohio State University
662,591253,University of Wisconsin-Madison,University of Wisconsin - Madison
663,366449,Boston College,Boston College
664,381481,-,
665,183156,-,
666,250424,Massachusetts Institute of Technology,Massachusetts Institute of Technology
667,130685,-,
668,861208,University of Wisconsin-Madison,University of Wisconsin - Madison
669,880975,University of Minnesota,University of Minnesota
670,928385,University of Zürich,University of Zürich
671,380322,-,
672,247721,-,
673,204316,-,
674,743858,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München
675,328262,"University of California, Los Angeles","University of California, Los Angeles"
676,664570,University of New Mexico,University of New Mexico
677,916136,University of Michigan,University of Michigan
678,529545,-,
679,522999,-,
680,240239,University of Wisconsin-Madison,University of Wisconsin - Madison
681,190097,Tufts University,Tufts University
682,669887,-,
683,309087,Cornell University,Cornell University
684,234928,Northwestern University,Northwestern University
685,412272,-,
686,367045,Seoul National University,Seoul National University
687,18950,Bocconi University,University of Commerce Luigi Bocconi
688,592597,Harvard Business School,Harvard University - Business School
689,373200,-,
690,849417,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
691,593945,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
692,446372,-,
693,954117,UCLA Extension,"University of California, Los Angeles - Extension School"
694,203332,-,
695,898055,-,
696,437289,Texas A&M University,Texas A&M University
697,52135,Northwestern University,Northwestern University
698,59037,"University of California, Los Angeles","University of California, Los Angeles"
699,383252,-,
700,158964,Northwestern University,Northwestern University
701,773306,Harvard University,Harvard University
702,70979,-,
703,760856,Yale University,Yale University
704,900713,New York University - Leonard N. Stern School of Business,New York University - Stern School Of Business
705,9560,-,
706,695145,University of Pennsylvania,University of Pennsylvania
707,359321,University of Minnesota,University of Minnesota
708,993277,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
709,923683,Princeton University,Princeton University
710,783255,-,
711,793390,New York University,New York University
