newid,Institution of highest degree obtained
520175,University of Pennsylvania
347251,Columbia University in the City of New York
587591,Yale University - Yale School of Management
621794,Harvard University
122644,-
119685,-
636522,Georgia State University - Andrew Young School of Policy Studies
735225,Stanford University
120337,Columbia University
632664,Duke University
586527,"University of California, Berkeley"
685788,"University of California, Berkeley"
622666,-
15185,Università Commerciale 'Luigi Bocconi'​
514659,New York University
27662,The London School of Economics and Political Science (LSE)
589609,-
464848,New York University
166408,The London School of Economics and Political Science (LSE)
996282,Stanford University
214051,University of Southern California - Marshall School of Business
350231,-
614451,"University of California, San Diego"
225021,Stanford University
4966,Arizona State University
275997,University of Wisconsin-Madison
575723,-
724708,UC Berkeley School of Information
333688,University of Wisconsin-La Crosse
594054,Harvard University
124407,Harvard University
417445,Georgetown University
271397,"University of California, San Diego"
505670,University of North Carolina at Chapel Hill
997134,The London School of Economics and Political Science
952511,University of Minnesota Twin Cities
881044,-
168506,-
382992,Università Commerciale 'Luigi Bocconi'
878007,-
612990,University of Wisconsin-Madison
740363,-
322858,University of Pennsylvania
677538,"University of California, Berkeley"
482116,London School of Economics and Political Science
111257,Brown University
822966,University of Michigan
388217,New York University
717881,-
727171,University of Southern California - Marshall School of Business
331771,University of Michigan Medical/Graduate School
374813,University of Wisconsin-Madison
287896,Northwestern University
913609,The London School of Economics and Political Science (LSE)
160933,University of Wyoming College of Business
38878,-
737961,-
786383,-
344117,"University of California, Los Angeles"
821009,The University of Texas at Austin
261438,Cornell University
226192,NYU Stern School of Business
701082,Carnegie Mellon University - Tepper School of Business
314491,-
547467,Boston University
393750,University of Pennsylvania
780663,-
426441,Harvard University
372315,University of Michigan
211220,-
845942,"University of California, Berkeley, Haas School of Business"
317988,-
710405,Washington University in St. Louis
772351,University of Minnesota
441071,-
379428,-
517440,Princeton University
290129,New York University
966537,Stanford University
38716,Stanford University
233625,Michigan State University
649380,University of Michigan
54340,-
47420,"University of Nevada, Reno"
354045,Queen's University
692192,Technical University Berlin
12488,Princeton University
78991,-
949726,-
331866,Massachusetts Institute of Technology
832554,Tsinghua University
841834,-
785276,-
148564,New York University
683592,-
321199,"University of California, Berkeley"
789860,Northern Illinois University
393671,-
966922,The University of British Columbia
780470,Stanford University
662435,Texas A&M University
654653,University of Illinois at Urbana-Champaign
789497,Seoul National University
358967,Columbia University in the City of New York
125659,"University of California, Berkeley"
262228,University of Pennsylvania - The Wharton School
618306,-
296720,The Hong Kong University of Science and Technology
510314,-
279816,University of California San Diego
520357,-
521148,-
270753,University of Wisconsin-Madison
212011,-
766263,Columbia University - Columbia Business School
828254,-
901985,-
836999,-
539095,-
82385,University of Oxford
895052,George Mason University
64473,-
693448,-
77446,University of Pennsylvania
592907,-
21714,Vanderbilt University
292675,-
709317,-
622863,University of Virginia
776313,-
951207,Stanford University
146378,-
638877,-
882543,-
135949,DePaul University
663582,MIT
159749,Yale University
350715,University of Maryland
794676,University of Oxford (Lincoln College)
70129,-
383113,Paris School of Economics
908799,Northwestern University
654457,Duke University
695310,Princeton University
722201,Queen Mary University of London
641834,UNC Kenan-Flagler Business School
539798,Columbia University in the City of New York
244238,New York University
157775,Northwestern University
7670,Seoul National University
187793,University of Wisconsin-Madison
543777,Columbia Engineering
380491,The Wharton School
146364,-
239477,Northwestern University
293398,-
65303,University of Southern California
675218,-
285282,University of Pennsylvania
257039,-
758347,Massachusetts Institute of Technology
968411,-
325556,IPADE Business School
444638,Massachusetts Institute of Technology
60415,University of Michigan
181230,-
678531,-
368734,UC Irvine
214290,Northwestern University - Kellogg School of Management
742439,University of Milan-Bicocca
533967,-
49315,Duke University
410087,-
528827,-
504996,-
196702,New York University
196573,Sciences Po
612329,Harvard University
60639,-
938603,"Harvard University, John F. Kennedy School of Government"
632365,-
